date	dosen_kumulativ	dosen_differenz_zum_vortag	dosen_erst_differenz_zum_vortag	dosen_zweit_differenz_zum_vortag	dosen_biontech_kumulativ	dosen_moderna_kumulativ	dosen_astrazeneca_kumulativ	personen_erst_kumulativ	personen_voll_kumulativ	impf_quote_erst	impf_quote_voll	indikation_alter_dosen	indikation_beruf_dosen	indikation_medizinisch_dosen	indikation_pflegeheim_dosen	indikation_alter_erst	indikation_beruf_erst	indikation_medizinisch_erst	indikation_pflegeheim_erst	indikation_alter_voll	indikation_beruf_voll	indikation_medizinisch_voll	indikation_pflegeheim_voll
2020-12-27	24296	24296	24159	137	24296	0	0	24159	137	0.000	0.000	10705	8657	1305	12604	10664	8590	1305	12536	41	67	0	68
2020-12-28	42679	18383	18383	0	42679	0	0	42542	137	0.001	0.000	18621	15788	1991	21344	18580	15721	1991	21276	41	67	0	68
2020-12-29	91666	48987	48398	589	91666	0	0	90940	726	0.001	0.000	34989	40734	3107	40508	34724	40420	3107	40099	265	314	0	409
2020-12-30	153498	61832	61828	4	153498	0	0	152768	730	0.002	0.000	55510	73365	4901	63206	55243	73050	4901	62794	267	315	0	412
2020-12-31	203170	49672	49555	117	203170	0	0	202323	847	0.002	0.000	72831	96719	6752	83965	72517	96367	6752	83476	314	352	0	489
2021-01-01	222441	19271	19271	0	222440	0	1	221594	847	0.003	0.000	81208	105449	7830	92301	80894	105097	7830	91812	314	352	0	489
2021-01-02	275302	52861	52585	276	275301	0	1	274179	1123	0.003	0.000	102774	129731	10350	113258	102365	129304	10350	112629	409	427	0	629
2021-01-03	299453	24151	24151	0	299452	0	1	298330	1123	0.004	0.000	113044	140227	11284	123279	112635	139800	11284	122650	409	427	0	629
2021-01-04	347802	48349	48349	0	347801	0	1	346679	1123	0.004	0.000	129646	164913	13951	139091	129237	164486	13951	138462	409	427	0	629
2021-01-05	401261	53459	53435	24	401259	1	1	400114	1147	0.005	0.000	147987	192565	16489	157656	147576	192117	16489	157025	411	448	0	631
2021-01-06	464259	62998	62997	1	464249	7	3	463111	1148	0.006	0.000	169498	225530	19910	180812	169086	225082	19910	180181	412	448	0	631
2021-01-07	520463	56204	56200	4	520449	11	3	519311	1152	0.006	0.000	189172	254868	22957	197233	188758	254418	22957	196600	414	450	0	633
2021-01-08	584034	63571	63253	318	583972	59	3	582564	1470	0.007	0.000	211521	287315	26324	218219	211009	286711	26320	217449	512	604	4	770
2021-01-09	645260	61226	61179	47	645198	59	3	643743	1517	0.008	0.000	237322	313238	29007	243325	236798	312599	29003	242545	524	639	4	780
2021-01-10	680399	35139	35132	7	680337	59	3	678875	1524	0.008	0.000	252455	327794	30379	256315	251929	327151	30375	255535	526	643	4	780
2021-01-11	746944	66545	66494	51	746881	60	3	745369	1575	0.009	0.000	277513	359176	33587	276774	276967	358513	33583	275968	546	663	4	806
2021-01-12	829876	82932	82882	50	829811	60	5	828251	1625	0.010	0.000	305695	401338	36582	301731	305147	400670	36578	300888	548	668	4	843
2021-01-13	941204	111328	111151	177	940342	857	5	939402	1802	0.011	0.000	345167	458844	40485	337339	344574	458093	40466	336399	593	751	19	940
2021-01-14	1024396	83192	82913	279	1018950	5441	5	1022315	2081	0.012	0.000	374803	501101	42769	361463	374094	500254	42750	360452	709	847	19	1011
2021-01-15	1115145	90749	90037	712	1104243	10878	24	1112352	2793	0.013	0.000	408725	545673	46728	389202	407810	544625	46700	387982	915	1048	28	1220
2021-01-16	1172542	57397	56361	1036	1159868	12650	24	1168713	3829	0.014	0.000	432983	570627	48859	408798	431664	569232	48767	407047	1319	1395	92	1751
2021-01-17	1220040	47498	30834	16664	1206060	13955	25	1199547	20493	0.014	0.000	453449	591002	50884	428544	444215	583354	50014	417145	9234	7648	870	11399
2021-01-18	1301858	81818	66068	15750	1284309	17523	26	1265615	36243	0.015	0.000	482728	633883	53106	448900	467235	619730	51700	430238	15493	14153	1406	18662
2021-01-19	1415446	113588	81043	32545	1394864	20506	76	1346658	68788	0.016	0.001	519765	695968	56714	479843	492669	666683	54375	447938	27096	29285	2339	31905
2021-01-20	1547361	131915	80672	51243	1524060	23221	80	1427330	120031	0.017	0.001	568076	760039	60957	522078	522876	706310	57505	469463	45200	53729	3452	52615
2021-01-21	1651682	104321	64369	39952	1625792	25810	80	1491699	159983	0.018	0.002	610150	808503	65406	556195	549621	735602	60889	487988	60529	72901	4517	68207
2021-01-22	1753612	101930	67554	34376	1725676	27844	92	1559253	194359	0.019	0.002	654049	853889	69013	590642	579902	764987	63599	506975	74147	88902	5414	83667
2021-01-23	1839239	85627	40692	44935	1810919	28227	93	1599945	239294	0.019	0.003	691767	890989	72414	617916	599855	780966	64783	516268	91912	110023	7631	101648
2021-01-24	1888739	49500	25602	23898	1860171	28471	97	1625547	263192	0.020	0.003	715655	910067	73331	632982	614016	789814	65130	521524	101639	120253	8201	111458
2021-01-25	1984718	95979	58135	37844	1954426	30193	99	1683682	301036	0.020	0.004	756375	951632	76827	658117	642321	811974	66847	534304	114054	139658	9980	123813
2021-01-26	2084159	99441	50979	48462	2052207	31847	105	1734661	349498	0.021	0.004	796572	997196	80614	684405	667753	831436	68195	545278	128819	165760	12419	139127
2021-01-27	2195173	111014	51593	59421	2161287	33773	113	1786254	408919	0.021	0.005	839834	1049509	85786	715259	691463	852265	70042	556304	148371	197244	15744	158955
2021-01-28	2286392	91219	45065	46154	2250870	35408	114	1831319	455073	0.022	0.005	877990	1090332	89974	739697	713483	869115	71590	567469	164507	221217	18384	172228
2021-01-29	2394940	108548	51156	57392	2357945	36813	182	1882475	512465	0.023	0.006	920894	1138243	95507	769100	735839	888487	73819	578309	185055	249756	21688	190791
